month,product_name,region,opening_stock_units,received_units,sold_units,closing_stock_units,stockout_days,backorder_units,,
01-01-2023,ANT-13,North,2545,2606,594,4557,0,0,,
01-01-2023,ANT-13,South,681,1624,687,1618,2,6,,
01-01-2023,ANT-13,West,4988,3500,552,7936,0,0,,
01-01-2023,ANT-25,Central,3092,3294,131,6255,0,0,,
01-01-2023,ANT-25,East,2011,994,102,2903,0,0,,
01-01-2023,ANT-25,North,2900,2921,179,5642,0,0,,
01-01-2023,ANT-25,South,395,4156,404,4147,3,3,,
01-01-2023,ANT-25,West,4729,2574,1354,5949,0,0,,
01-01-2023,CAR-05,Central,2001,2662,2050,2613,4,1,,
01-01-2023,CAR-05,East,2788,3075,1277,4586,0,0,,
01-01-2023,CAR-05,North,5497,2724,326,7895,0,0,,
01-01-2023,CAR-05,South,5084,3353,3672,4765,0,0,,
01-01-2023,CAR-05,West,2708,1856,1755,2809,0,0,,
01-01-2023,CAR-08,Central,3215,2906,445,5676,0,0,,
01-01-2023,CAR-08,East,5148,4629,488,9289,0,0,,
01-01-2023,CAR-08,North,219,2871,249,2841,1,30,,
01-01-2023,CAR-08,South,4817,2804,73,7548,0,0,,
01-01-2023,CAR-08,West,3603,2282,306,5579,0,0,,
01-01-2023,CAR-10,Central,3923,2893,601,6215,0,0,,
01-01-2023,CAR-10,East,5442,4286,394,9334,0,0,,
01-01-2023,CAR-10,North,389,1854,439,1804,3,45,,
01-01-2023,CAR-10,South,334,2919,346,2907,4,8,,
01-01-2023,CAR-10,West,2061,3175,363,4873,0,0,,
01-01-2023,CAR-14,Central,3909,3246,258,6897,0,0,,
01-01-2023,CAR-14,East,5413,2984,895,7502,0,0,,
01-01-2023,CAR-14,North,4945,3014,381,7578,0,0,,
01-01-2023,CAR-14,South,2322,2679,950,4051,0,0,,
01-01-2023,CAR-14,West,297,3722,333,3686,3,20,,
01-01-2023,CAR-15,Central,5693,2006,1203,6496,0,0,,
01-01-2023,CAR-15,East,4821,4931,0,9752,0,0,,
01-01-2023,CAR-15,North,1088,2177,1120,2145,3,6,,
01-01-2023,CAR-15,South,2935,3414,368,5981,0,0,,
01-01-2023,CAR-15,West,3548,3546,771,6323,0,0,,
01-01-2023,CAR-20,Central,3095,4279,953,6421,0,0,,
01-01-2023,CAR-20,East,2925,1809,134,4600,0,0,,
01-01-2023,CAR-20,North,2779,4087,419,6447,0,0,,
01-01-2023,CAR-20,South,2895,3741,266,6370,0,0,,
01-01-2023,CAR-20,West,292,3472,308,3456,1,8,,
01-01-2023,CAR-22,Central,2519,3672,183,6008,0,0,,
01-01-2023,CAR-22,East,4031,2791,471,6351,0,0,,
01-01-2023,CAR-22,North,5653,1683,527,6809,0,0,,
01-01-2023,CAR-22,South,4173,4180,209,8144,0,0,,
01-01-2023,CAR-22,West,4565,1643,171,6037,0,0,,
01-01-2023,DIA-11,Central,5359,2784,281,7862,0,0,,
01-01-2023,DIA-11,East,4144,2480,156,6468,0,0,,
01-01-2023,DIA-11,North,158,4650,205,4603,3,3,,
01-01-2023,DIA-11,South,3360,2971,219,6112,0,0,,
01-01-2023,DIA-11,West,2514,1982,19,4477,0,0,,
01-01-2023,DIA-16,Central,2356,1543,241,3658,0,0,,
01-01-2023,DIA-16,East,4877,1577,737,5717,0,0,,
01-01-2023,DIA-16,North,4565,2987,862,6690,0,0,,
01-01-2023,DIA-16,South,5395,3804,970,8229,0,0,,
01-01-2023,DIA-16,West,3376,2264,352,5288,0,0,,
01-01-2023,RES-04,Central,3716,3522,222,7016,0,0,,
01-01-2023,RES-04,East,5375,2894,564,7705,0,0,,
01-01-2023,RES-04,North,5516,3412,188,8740,0,0,,
01-01-2023,RES-04,South,2967,3617,637,5947,0,0,,
01-01-2023,RES-04,West,3860,2475,395,5940,0,0,,
01-01-2023,RES-06,Central,2207,2833,377,4663,0,0,,
01-01-2023,RES-06,East,2968,3332,612,5688,0,0,,
01-01-2023,RES-06,North,2970,2176,189,4957,0,0,,
01-01-2023,RES-06,South,180,2601,227,2554,2,35,,
01-01-2023,RES-06,West,2727,3015,427,5315,0,0,,
01-01-2023,RES-17,Central,2381,3970,151,6200,0,0,,
01-01-2023,RES-17,East,4122,1880,602,5400,0,0,,
01-01-2023,RES-17,North,5506,2868,404,7970,0,0,,
01-01-2023,RES-17,South,3755,2781,249,6287,0,0,,
01-01-2023,RES-17,West,5142,3347,234,8255,0,0,,
01-01-2023,RES-19,Central,2305,2524,32,4797,0,0,,
01-01-2023,RES-19,East,3243,3774,436,6581,0,0,,
01-01-2023,RES-19,North,23,2731,29,2725,1,3,,
01-01-2023,RES-19,South,3636,2766,208,6194,0,0,,
01-01-2023,RES-19,West,5068,3892,322,8638,0,0,,
01-01-2023,RES-24,Central,210,2152,249,2113,3,28,,
01-01-2023,RES-24,East,3386,3771,134,7023,0,0,,
01-01-2023,RES-24,North,3654,3506,188,6972,0,0,,
01-01-2023,RES-24,South,2344,3487,226,5605,0,0,,
01-01-2023,RES-24,West,4928,3466,332,8062,0,0,,
01-02-2023,ANA-01,Central,1266,2155,1287,2134,4,21,,
01-02-2023,ANA-01,East,6232,277,607,5902,0,0,,
01-02-2023,ANA-01,North,1005,2517,1012,2510,3,7,,
01-02-2023,ANA-01,South,5371,3453,1115,7709,0,0,,
01-02-2023,ANA-01,West,7042,3138,170,10010,0,0,,
01-02-2023,ANA-02,Central,1252,3404,1300,3356,4,6,,
01-02-2023,ANA-02,East,2493,3487,2531,3449,1,33,,
01-02-2023,ANA-02,North,2230,4021,1846,4405,0,0,,
01-02-2023,ANA-02,South,1274,3701,1286,3689,1,11,,
01-02-2023,ANA-02,West,3639,3314,2217,4736,0,0,,
01-02-2023,ANA-03,Central,233,2272,270,2235,1,2,,
01-02-2023,ANA-03,East,235,3962,275,3922,2,21,,
01-02-2023,ANA-03,North,7809,3710,203,11316,0,0,,
01-02-2023,ANA-03,South,8158,3714,57,11815,0,0,,
01-02-2023,ANA-03,West,4564,2656,325,6895,0,0,,
01-02-2023,ANA-07,Central,5512,2477,263,7726,0,0,,
01-02-2023,ANA-07,East,7666,3743,282,11127,0,0,,
01-02-2023,ANA-07,North,4915,2237,284,6868,0,0,,
01-02-2023,ANA-07,South,4683,2880,369,7194,0,0,,
01-02-2023,ANA-07,West,8485,2797,459,10823,0,0,,
01-02-2023,ANA-09,Central,6225,2935,217,8943,0,0,,
01-02-2023,ANA-09,East,6718,2169,326,8561,0,0,,
01-02-2023,ANA-09,North,8984,3097,91,11990,0,0,,
01-02-2023,ANA-09,South,6480,2857,323,9014,0,0,,
01-02-2023,ANA-09,West,676,2240,720,2196,4,13,,
01-02-2023,ANA-12,Central,163,3108,210,3061,3,27,,
01-02-2023,ANA-12,East,7149,1102,186,8065,0,0,,
01-02-2023,ANA-12,North,5906,1678,257,7327,0,0,,
01-02-2023,ANA-12,South,355,3640,374,3621,2,18,,
01-02-2023,ANA-12,West,9349,3271,97,12523,0,0,,
01-02-2023,ANA-18,Central,933,2738,956,2715,3,7,,
01-02-2023,ANA-18,East,6978,2112,828,8262,0,0,,
01-02-2023,ANA-18,North,6848,4095,745,10198,0,0,,
01-02-2023,ANA-18,South,8179,2808,573,10414,0,0,,
01-02-2023,ANA-18,West,2635,3022,2331,3326,0,0,,
01-02-2023,ANA-21,Central,5132,2805,919,7018,0,0,,
01-02-2023,ANA-21,East,6623,4135,562,10196,0,0,,
01-02-2023,ANA-21,North,800,1958,843,1915,2,40,,
01-02-2023,ANA-21,South,9560,2599,390,11769,0,0,,
01-02-2023,ANA-21,West,7786,3867,362,11291,0,0,,
01-02-2023,ANA-23,Central,4885,3330,554,7661,0,0,,
01-02-2023,ANA-23,East,1025,3217,1074,3168,1,8,,
01-02-2023,ANA-23,North,4930,2603,1773,5760,0,0,,
01-02-2023,ANA-23,South,6411,2502,1288,7625,0,0,,
01-02-2023,ANA-23,West,5197,3411,251,8357,0,0,,
01-02-2023,ANT-13,Central,8161,3036,676,10521,0,0,,
01-02-2023,ANT-13,East,7102,1879,533,8448,0,0,,
01-02-2023,ANT-13,North,4557,3713,474,7796,0,0,,
01-02-2023,ANT-13,South,4923,3190,499,7614,0,0,,
01-02-2023,ANT-13,West,222,2542,271,2493,3,10,,
01-02-2023,ANT-25,Central,6255,1187,207,7235,0,0,,
01-02-2023,ANT-25,East,2903,3247,255,5895,0,0,,
01-02-2023,ANT-25,North,5642,3774,171,9245,0,0,,
01-02-2023,ANT-25,South,513,1849,538,1824,2,1,,
01-02-2023,ANT-25,West,5949,3320,808,8461,0,0,,
01-02-2023,CAR-05,Central,3987,2385,889,5483,0,0,,
01-02-2023,CAR-05,East,4586,3395,2822,5159,0,0,,
01-02-2023,CAR-05,North,7895,826,599,8122,0,0,,
01-02-2023,CAR-05,South,4765,3371,1775,6361,0,0,,
01-02-2023,CAR-05,West,2809,2774,539,5044,0,0,,
01-02-2023,CAR-08,Central,5676,2633,386,7923,0,0,,
01-02-2023,CAR-08,East,9289,3603,300,12592,0,0,,
01-02-2023,CAR-08,North,6775,2944,406,9313,0,0,,
01-02-2023,CAR-08,South,7548,3460,80,10928,0,0,,
01-02-2023,CAR-08,West,234,3986,277,3943,2,15,,
01-02-2023,CAR-10,Central,6215,2775,250,8740,0,0,,
01-02-2023,CAR-10,East,9334,3517,342,12509,0,0,,
01-02-2023,CAR-10,North,5942,3906,424,9424,0,0,,
01-02-2023,CAR-10,South,5344,2195,486,7053,0,0,,
01-02-2023,CAR-10,West,4873,2112,146,6839,0,0,,
01-02-2023,CAR-14,Central,6897,2542,349,9090,0,0,,
01-02-2023,CAR-14,East,7502,1971,494,8979,0,0,,
01-02-2023,CAR-14,North,7578,3410,380,10608,0,0,,
01-02-2023,CAR-14,South,4051,2488,551,5988,0,0,,
01-02-2023,CAR-14,West,85,3447,98,3434,1,9,,
01-02-2023,CAR-15,Central,1863,3368,1903,3328,3,37,,
01-02-2023,CAR-15,East,-33,2909,0,2876,3,10,,
01-02-2023,CAR-15,North,6355,2800,880,8275,0,0,,
01-02-2023,CAR-15,South,5981,3461,384,9058,0,0,,
01-02-2023,CAR-15,West,6323,3618,1474,8467,0,0,,
01-02-2023,CAR-20,Central,6421,2367,751,8037,0,0,,
01-02-2023,CAR-20,East,285,1946,321,1910,2,12,,
01-02-2023,CAR-20,North,6447,4532,117,10862,0,0,,
01-02-2023,CAR-20,South,6370,3840,224,9986,0,0,,
01-02-2023,CAR-20,West,5419,3245,337,8327,0,0,,
01-02-2023,CAR-22,Central,292,3551,299,3544,4,6,,
01-02-2023,CAR-22,East,6351,2576,261,8666,0,0,,
01-02-2023,CAR-22,North,6809,2628,338,9099,0,0,,
01-02-2023,CAR-22,South,8144,1122,259,9007,0,0,,
01-02-2023,CAR-22,West,6037,2758,372,8423,0,0,,
01-02-2023,DIA-11,Central,7862,4082,303,11641,0,0,,
01-02-2023,DIA-11,East,6468,2253,117,8604,0,0,,
01-02-2023,DIA-11,North,9795,2337,138,11994,0,0,,
01-02-2023,DIA-11,South,6112,2947,271,8788,0,0,,
01-02-2023,DIA-11,West,4477,3981,31,8427,0,0,,
01-02-2023,DIA-16,Central,3658,3032,450,6240,0,0,,
01-02-2023,DIA-16,East,5717,2322,271,7768,0,0,,
01-02-2023,DIA-16,North,1020,2503,1038,2485,2,0,,
01-02-2023,DIA-16,South,919,2665,923,2661,2,4,,
01-02-2023,DIA-16,West,5288,3411,348,8351,0,0,,
01-02-2023,RES-04,Central,7016,3217,208,10025,0,0,,
01-02-2023,RES-04,East,7705,1882,487,9100,0,0,,
01-02-2023,RES-04,North,8740,1857,94,10503,0,0,,
01-02-2023,RES-04,South,5947,3994,574,9367,0,0,,
01-02-2023,RES-04,West,5940,3719,544,9115,0,0,,
01-02-2023,RES-06,Central,4663,2116,495,6284,0,0,,
01-02-2023,RES-06,East,5688,4071,292,9467,0,0,,
01-02-2023,RES-06,North,4957,2595,288,7264,0,0,,
01-02-2023,RES-06,South,5407,913,206,6114,0,0,,
01-02-2023,RES-06,West,5315,2916,311,7920,0,0,,
01-02-2023,RES-17,Central,6200,3117,48,9269,0,0,,
01-02-2023,RES-17,East,327,2843,330,2840,4,2,,
01-02-2023,RES-17,North,7970,2826,423,10373,0,0,,
01-02-2023,RES-17,South,6287,3055,344,8998,0,0,,
01-02-2023,RES-17,West,8255,4048,597,11706,0,0,,
01-02-2023,RES-19,Central,84,4007,127,3964,3,5,,
01-02-2023,RES-19,East,6581,3302,335,9548,0,0,,
01-02-2023,RES-19,North,46,3155,72,3129,3,26,,
01-02-2023,RES-19,South,6194,2796,223,8767,0,0,,
01-02-2023,RES-19,West,288,2150,338,2100,3,10,,
01-02-2023,RES-24,Central,4437,2224,276,6385,0,0,,
01-02-2023,RES-24,East,7023,3271,117,10177,0,0,,
01-02-2023,RES-24,North,6972,2139,97,9014,0,0,,
01-02-2023,RES-24,South,5605,2070,221,7454,0,0,,
01-02-2023,RES-24,West,8062,3836,296,11602,0,0,,
01-03-2023,ANA-01,Central,4215,2980,933,6262,0,0,,
01-03-2023,ANA-01,East,5902,3496,628,8770,0,0,,
01-03-2023,ANA-01,North,7359,1908,627,8640,0,0,,
01-03-2023,ANA-01,South,7709,2539,726,9522,0,0,,
01-03-2023,ANA-01,West,10010,2592,296,12306,0,0,,
01-03-2023,ANA-02,Central,10332,2892,448,12776,0,0,,
01-03-2023,ANA-02,East,4771,1978,2778,3971,0,0,,
01-03-2023,ANA-02,North,1193,2373,1227,2339,3,30,,
01-03-2023,ANA-02,South,127,1592,149,1570,3,22,,
01-03-2023,ANA-02,West,2089,1902,2099,1892,1,8,,
01-03-2023,ANA-03,Central,8049,1999,417,9631,0,0,,
01-03-2023,ANA-03,East,11568,1524,277,12815,0,0,,
01-03-2023,ANA-03,North,141,2267,151,2257,3,7,,
01-03-2023,ANA-03,South,11815,3386,249,14952,0,0,,
01-03-2023,ANA-03,West,267,3009,297,2979,1,18,,
01-03-2023,ANA-07,Central,7726,2026,320,9432,0,0,,
01-03-2023,ANA-07,East,11127,3345,502,13970,0,0,,
01-03-2023,ANA-07,North,6868,2203,125,8946,0,0,,
01-03-2023,ANA-07,South,7194,1955,297,8852,0,0,,
01-03-2023,ANA-07,West,10823,2414,594,12643,0,0,,
01-03-2023,ANA-09,Central,8943,1477,686,9734,0,0,,
01-03-2023,ANA-09,East,8561,3566,727,11400,0,0,,
01-03-2023,ANA-09,North,201,2308,234,2275,4,11,,
01-03-2023,ANA-09,South,9014,1820,428,10406,0,0,,
01-03-2023,ANA-09,West,968,2703,991,2680,4,6,,
01-03-2023,ANA-12,Central,8760,3377,319,11818,0,0,,
01-03-2023,ANA-12,East,8065,3011,92,10984,0,0,,
01-03-2023,ANA-12,North,7327,2677,242,9762,0,0,,
01-03-2023,ANA-12,South,10234,2759,588,12405,0,0,,
01-03-2023,ANA-12,West,12523,3372,161,15734,0,0,,
01-03-2023,ANA-18,Central,6973,4152,771,10354,0,0,,
01-03-2023,ANA-18,East,8262,3392,650,11004,0,0,,
01-03-2023,ANA-18,North,1435,2906,1462,2879,1,6,,
01-03-2023,ANA-18,South,10414,2565,1216,11763,0,0,,
01-03-2023,ANA-18,West,2160,1932,2198,1894,2,30,,
01-03-2023,ANA-21,Central,7018,2035,511,8542,0,0,,
01-03-2023,ANA-21,East,10196,2779,539,12436,0,0,,
01-03-2023,ANA-21,North,8429,2563,712,10280,0,0,,
01-03-2023,ANA-21,South,11769,2533,162,14140,0,0,,
01-03-2023,ANA-21,West,11291,3455,690,14056,0,0,,
01-03-2023,ANA-23,Central,1128,3020,1154,2994,2,9,,
01-03-2023,ANA-23,East,1942,3346,1945,3343,4,0,,
01-03-2023,ANA-23,North,5760,3431,1531,7660,0,0,,
01-03-2023,ANA-23,South,7625,3327,1211,9741,0,0,,
01-03-2023,ANA-23,West,8357,1414,333,9438,0,0,,
01-03-2023,ANT-13,Central,10521,3476,606,13391,0,0,,
01-03-2023,ANT-13,East,8448,1786,635,9599,0,0,,
01-03-2023,ANT-13,North,7796,2768,941,9623,0,0,,
01-03-2023,ANT-13,South,7614,3226,742,10098,0,0,,
01-03-2023,ANT-13,West,10207,2139,804,11542,0,0,,
01-03-2023,ANT-25,Central,7235,1239,264,8210,0,0,,
01-03-2023,ANT-25,East,5895,3187,252,8830,0,0,,
01-03-2023,ANT-25,North,9245,2177,180,11242,0,0,,
01-03-2023,ANT-25,South,8218,2753,486,10485,0,0,,
01-03-2023,ANT-25,West,8461,4185,1051,11595,0,0,,
01-03-2023,CAR-05,Central,5483,4891,1554,8820,0,0,,
01-03-2023,CAR-05,East,5159,3547,1707,6999,0,0,,
01-03-2023,CAR-05,North,8122,2518,542,10098,0,0,,
01-03-2023,CAR-05,South,6361,2963,1576,7748,0,0,,
01-03-2023,CAR-05,West,5044,2995,1388,6651,0,0,,
01-03-2023,CAR-08,Central,7923,2909,548,10284,0,0,,
01-03-2023,CAR-08,East,12592,3154,565,15181,0,0,,
01-03-2023,CAR-08,North,9313,3178,405,12086,0,0,,
01-03-2023,CAR-08,South,10928,3146,78,13996,0,0,,
01-03-2023,CAR-08,West,9288,1431,265,10454,0,0,,
01-03-2023,CAR-10,Central,8740,2594,551,10783,0,0,,
01-03-2023,CAR-10,East,12509,2559,209,14859,0,0,,
01-03-2023,CAR-10,North,9424,3542,274,12692,0,0,,
01-03-2023,CAR-10,South,7053,3002,541,9514,0,0,,
01-03-2023,CAR-10,West,6839,2290,424,8705,0,0,,
01-03-2023,CAR-14,Central,9090,3981,190,12881,0,0,,
01-03-2023,CAR-14,East,731,3973,757,3947,4,6,,
01-03-2023,CAR-14,North,10608,2207,469,12346,0,0,,
01-03-2023,CAR-14,South,5988,1201,885,6304,0,0,,
01-03-2023,CAR-14,West,9255,3166,335,12086,0,0,,
01-03-2023,CAR-15,Central,7961,3256,1921,9296,0,0,,
01-03-2023,CAR-15,East,12661,4127,0,16788,0,0,,
01-03-2023,CAR-15,North,8275,2831,1407,9699,0,0,,
01-03-2023,CAR-15,South,9058,2410,108,11360,0,0,,
01-03-2023,CAR-15,West,8467,3908,2317,10058,0,0,,
01-03-2023,CAR-20,Central,764,2234,775,2223,4,9,,
01-03-2023,CAR-20,East,6225,3794,141,9878,0,0,,
01-03-2023,CAR-20,North,10862,2309,333,12838,0,0,,
01-03-2023,CAR-20,South,9986,3950,341,13595,0,0,,
01-03-2023,CAR-20,West,8327,3179,436,11070,0,0,,
01-03-2023,CAR-22,Central,9260,3567,194,12633,0,0,,
01-03-2023,CAR-22,East,8666,4146,537,12275,0,0,,
01-03-2023,CAR-22,North,9099,4414,378,13135,0,0,,
01-03-2023,CAR-22,South,9007,2535,105,11437,0,0,,
01-03-2023,CAR-22,West,8423,2220,163,10480,0,0,,
01-03-2023,DIA-11,Central,204,2909,221,2892,2,4,,
01-03-2023,DIA-11,East,298,2406,321,2383,4,5,,
01-03-2023,DIA-11,North,11994,2628,62,14560,0,0,,
01-03-2023,DIA-11,South,8788,3357,374,11771,0,0,,
01-03-2023,DIA-11,West,50,2929,76,2903,3,6,,
01-03-2023,DIA-16,Central,6240,3709,777,9172,0,0,,
01-03-2023,DIA-16,East,7768,3128,502,10394,0,0,,
01-03-2023,DIA-16,North,8155,4304,1489,10970,0,0,,
01-03-2023,DIA-16,South,9971,2103,679,11395,0,0,,
01-03-2023,DIA-16,West,8351,2647,281,10717,0,0,,
01-03-2023,RES-04,Central,361,3446,394,3413,1,22,,
01-03-2023,RES-04,East,9100,2907,519,11488,0,0,,
01-03-2023,RES-04,North,10503,4567,258,14812,0,0,,
01-03-2023,RES-04,South,821,2747,859,2709,2,23,,
01-03-2023,RES-04,West,254,3800,268,3786,1,14,,
01-03-2023,RES-06,Central,6284,485,485,6284,0,0,,
01-03-2023,RES-06,East,9467,1983,464,10986,0,0,,
01-03-2023,RES-06,North,7264,3746,297,10713,0,0,,
01-03-2023,RES-06,South,6114,2233,185,8162,0,0,,
01-03-2023,RES-06,West,7920,3477,321,11076,0,0,,
01-03-2023,RES-17,Central,9269,3722,117,12874,0,0,,
01-03-2023,RES-17,East,7913,2727,460,10180,0,0,,
01-03-2023,RES-17,North,418,3074,462,3030,2,10,,
01-03-2023,RES-17,South,8998,1671,502,10167,0,0,,
01-03-2023,RES-17,West,367,2913,372,2908,2,0,,
01-03-2023,RES-19,Central,8677,3670,139,12208,0,0,,
01-03-2023,RES-19,East,9548,4151,550,13149,0,0,,
01-03-2023,RES-19,North,10441,942,37,11346,0,0,,
01-03-2023,RES-19,South,253,4299,263,4289,3,0,,
01-03-2023,RES-19,West,10450,3152,262,13340,0,0,,
01-03-2023,RES-24,Central,6385,3453,335,9503,0,0,,
01-03-2023,RES-24,East,10177,2552,287,12442,0,0,,
01-03-2023,RES-24,North,9014,3293,179,12128,0,0,,
01-03-2023,RES-24,South,7454,3770,442,10782,0,0,,
01-03-2023,RES-24,West,59,2673,83,2649,4,13,,
01-04-2023,ANA-01,Central,6262,3567,1157,8672,0,0,,
01-04-2023,ANA-01,East,8770,3350,767,11353,0,0,,
01-04-2023,ANA-01,North,8640,3378,814,11204,0,0,,
01-04-2023,ANA-01,South,9522,2747,775,11494,0,0,,
01-04-2023,ANA-01,West,12306,3381,435,15252,0,0,,
01-04-2023,ANA-02,Central,12776,3419,1169,15026,0,0,,
01-04-2023,ANA-02,East,3971,2828,1999,4800,0,0,,
01-04-2023,ANA-02,North,5551,3777,2315,7013,0,0,,
01-04-2023,ANA-02,South,10617,2925,2745,10797,0,0,,
01-04-2023,ANA-02,West,4539,1877,3114,3302,0,0,,
01-04-2023,ANA-03,Central,9631,3306,337,12600,0,0,,
01-04-2023,ANA-03,East,187,1991,219,1959,1,18,,
01-04-2023,ANA-03,North,13432,3414,391,16455,0,0,,
01-04-2023,ANA-03,South,14952,3332,72,18212,0,0,,
01-04-2023,ANA-03,West,9607,2808,336,12079,0,0,,
01-04-2023,ANA-07,Central,630,2152,659,2123,1,3,,
01-04-2023,ANA-07,East,13970,1082,366,14686,0,0,,
01-04-2023,ANA-07,North,8946,2804,78,11672,0,0,,
01-04-2023,ANA-07,South,8852,2841,285,11408,0,0,,
01-04-2023,ANA-07,West,654,2179,669,2164,2,12,,
01-04-2023,ANA-09,Central,9734,3700,610,12824,0,0,,
01-04-2023,ANA-09,East,11400,2630,1103,12927,0,0,,
01-04-2023,ANA-09,North,14064,3489,296,17257,0,0,,
01-04-2023,ANA-09,South,10406,2648,326,12728,0,0,,
01-04-2023,ANA-09,West,7601,2795,758,9638,0,0,,
01-04-2023,ANA-12,Central,11818,4290,200,15908,0,0,,
01-04-2023,ANA-12,East,10984,2364,177,13171,0,0,,
01-04-2023,ANA-12,North,9762,2822,314,12270,0,0,,
01-04-2023,ANA-12,South,12405,2477,528,14354,0,0,,
01-04-2023,ANA-12,West,15734,3328,268,18794,0,0,,
01-04-2023,ANA-18,Central,10354,3085,1518,11921,0,0,,
01-04-2023,ANA-18,East,11004,2378,584,12798,0,0,,
01-04-2023,ANA-18,North,11642,2520,914,13248,0,0,,
01-04-2023,ANA-18,South,11763,3604,1326,14041,0,0,,
01-04-2023,ANA-18,West,3060,3304,2150,4214,0,0,,
01-04-2023,ANA-21,Central,8542,2779,729,10592,0,0,,
01-04-2023,ANA-21,East,12436,3105,602,14939,0,0,,
01-04-2023,ANA-21,North,814,2950,837,2927,2,17,,
01-04-2023,ANA-21,South,327,2489,342,2474,1,9,,
01-04-2023,ANA-21,West,426,3495,471,3450,1,29,,
01-04-2023,ANA-23,Central,9527,3894,604,12817,0,0,,
01-04-2023,ANA-23,East,7058,1251,1277,7032,0,0,,
01-04-2023,ANA-23,North,7660,3372,1599,9433,0,0,,
01-04-2023,ANA-23,South,9741,3019,1726,11034,0,0,,
01-04-2023,ANA-23,West,9438,2438,299,11577,0,0,,
01-04-2023,ANT-13,Central,13391,1779,1130,14040,0,0,,
01-04-2023,ANT-13,East,9599,2856,254,12201,0,0,,
01-04-2023,ANT-13,North,9623,2160,598,11185,0,0,,
01-04-2023,ANT-13,South,813,3501,831,3483,1,17,,
01-04-2023,ANT-13,West,11542,3346,703,14185,0,0,,
01-04-2023,ANT-25,Central,8210,620,297,8533,0,0,,
01-04-2023,ANT-25,East,143,3474,146,3471,4,0,,
01-04-2023,ANT-25,North,11242,2693,93,13842,0,0,,
01-04-2023,ANT-25,South,10485,2401,845,12041,0,0,,
01-04-2023,ANT-25,West,11595,3155,616,14134,0,0,,
01-04-2023,CAR-05,Central,8820,3003,1483,10340,0,0,,
01-04-2023,CAR-05,East,6999,3993,1023,9969,0,0,,
01-04-2023,CAR-05,North,10098,2896,422,12572,0,0,,
